Province_EN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AMNAT CHAREON,5455.139904999999,6513.65891,6071.441146,5629.8363150000005,5649.223478,6035.261807000001,5969.43936,6034.971548,6644.522142,6711.638207000001,7271.579040999999,7723.591348999999,8287.781346,7284.3490409999995,7827.745302,8333.81798,8513.65389,8627.204649,9362.063113999999,9057.255438,9445.266529999999,9816.065079,10219.086696999999,10717.579966000001
BUENG KAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17774.95017,24555.672216,27612.68209,26471.393777999998,29799.685653,31048.164025000002,33606.595967,33249.553387
CHIANG MAI,73407.14473500001,79588.03517599999,81070.78644,72354.95254,75962.736276,72084.83973600001,76716.857726,84813.13022199999,87750.66352,91290.67197699999,97703.656522,97937.73312799999,97627.91330799999,99683.42737,99206.440021,103982.001919,112873.563363,122556.57832100001,120589.381633,123587.40323600001,127353.617281,132587.934885,138485.463351,144120.696889
LAMPANG,30806.703408,34384.602917,33812.610813,30410.063403,30613.87755,30538.654597,32170.981954,34523.767109,34874.520988000004,35573.652128999995,36915.986253999996,36329.401558,36825.032353999995,35839.758909,38024.737058000006,39504.976026,41131.227014000004,41726.039437,41722.398653,40932.413161000004,40371.34789600001,41182.62814,41978.024403999996,42587.129647
UTTARADIT,13713.148816,15703.161605,15599.119374000002,14444.200925,16324.308224999999,13640.510664,13740.41448,14402.882039,16164.259309,15808.169223,16480.368147,16859.644425,17445.632594,17771.007670000003,17912.864824,18164.305298,19246.123974000002,21757.431272,21269.211676000003,20039.323742,18479.749873999997,18612.518470000003,21377.460445,22455.689894000003
MAE HONG SON,4547.37811,4902.380708999999,4842.26122,4860.747092,5315.641034,5330.451717,5133.160619,5237.613308,5181.346936999999,5321.61106,5266.324018,5466.363869,5617.652696,5522.839115000001,5721.018828,5627.998187,5797.764995,5720.504488,5948.198654,5888.509294,6538.344674,6576.332064,6749.399334,6935.350478
CHIANG RAI,26667.034581,28531.67125,28002.746507,27540.640662,29672.941301,30228.166745000002,30500.494861,32666.05164,34129.605085,35270.014841000004,38647.828964,38128.966953,40466.688766,40949.628573,41853.315619,43306.266643,45950.273602,50359.13317,51193.999956,50311.362502,51273.612509,52376.474809,54681.119546999995,57075.16929
PHRAE,11322.510966000002,12079.794102000002,11875.113635,11097.292948,11745.709726000001,11989.830198000001,11965.263990000001,12788.584765,13321.778844999999,14089.927747,14453.478438000002,14144.123979,14533.476662000001,14004.914863,14284.952001999998,15056.95679,15626.912113999999,16373.795779,16264.756909,15894.772550000002,15790.641269,16469.216012,16651.994431,17408.829469
LAMPHUN,22349.911921000003,24500.018492000003,26012.302623000003,23071.120025,24752.956229,29013.014032999996,27122.972026,29782.469903,31973.315446,34210.952525,37340.131116000004,37453.822419000004,38648.53041399999,39625.528257,40548.379187,48150.394538,49124.761225,45429.905189000005,41807.037850999994,46474.110451,42299.261565,43479.744687000006,48398.368972000004,51327.875248
NAN,10491.540784,11068.257855,10923.378458,10149.7316,10765.001106,11224.307544,11263.803391000001,12081.659219000001,12456.180748,12713.698897999999,12719.2416,12987.642909,13729.007588999999,13488.43904,14131.442583,14516.864064,14580.955828,15687.977822,15636.549125,15659.946805,16554.593828,17075.904021,17735.26079,18481.657914
PHAYAO,10930.312067,12081.78384,11514.412461,11168.835479000001,12030.107420999999,12310.58048,12365.538938,13158.728159,13778.529783,14412.870091,15643.894112,15874.906638,16278.435486,15684.918289,16446.515473,16838.519907,17218.140658,17699.398488,17397.049205,16911.363656,17327.45243,17554.677461,18500.062649000003,18949.726431
NAKHON SAWAN,37929.869808,41939.409472,41412.637358,37625.480521000005,39714.741066999995,37796.312748000004,38621.959976,42007.193612,49254.682964,49753.436474,50815.051092999995,51939.505112000006,53678.015667,53920.525296,55202.723469,54901.585660000004,58390.112403,64654.999382999995,64894.687983,61545.085994,59675.746284,56281.843568,59104.515079,62942.897388000005
PHITSANULOK,27617.112367,31807.418417999997,31578.5252,31682.978365,34419.090464,31844.872267,32155.213729,35427.761306,37771.21525,35147.720795,37226.588526,37678.562442999995,39327.184457999996,39962.301832,40452.530645000006,41063.007657,42982.385068999996,51148.251398,49117.151750000005,46841.910366000004,46060.903314,46205.601981,49204.468842,51579.532364
KAM PHAENG PHET,26705.692435,29111.545767,27151.603138,27433.297694,29310.1622,30143.822470000003,28969.843449,37708.9629,49786.984208,47471.374086,46627.485205,49877.538889,53416.100077,52900.994512,50270.829419,50008.993465,55133.670378,62761.745285000005,64793.529297,59044.593091999996,60779.118762,64236.291941,64587.607606,67153.093245
UTHAI THANI,8540.83394,9355.701097,9502.183433,9352.173112,9940.431547,10983.138609,9759.657671,9785.591561,11368.016049,11095.539775000001,10863.764908,11498.044152,13629.178563000001,13293.776824999999,13927.600648,13165.498875000001,15604.7279,16358.860359,16619.693199,16212.205998000001,15346.930355,14782.088979,15813.966376,17142.61306
SUKHOTHAI,13091.325617999999,14587.480355,14235.004047,14432.800577,15464.873361999998,15347.869797,15750.823911000001,16328.861411,18410.067056,18092.921541,18196.045159,18234.949161,19123.682224,19174.894595,19568.280054000003,21294.12477,23357.981516000003,26105.254035,25522.904721,24607.693119000003,23892.322819999998,22977.722217000002,24180.077466,26416.271225
TAK,14707.260662,15609.217939,14507.683896,14788.585534000002,15520.288703,16313.404839,16937.508198,17570.510212,18754.66649,19791.463818,21121.146266,21415.382557,21758.178291,21186.488182,22918.996714,23537.949036,23340.127132999998,25407.674323,25051.286903,25577.192944,26647.312603000002,26818.363518000002,27075.512062,27655.995752
PHICHIT,13199.470059000001,14909.357923000001,15276.044912,15947.292356,15272.380656,16511.031668,17223.420621,18102.776912,19007.641681999998,18810.872643,20059.48688,20004.048574,19702.055877,20021.530787,21383.622643,22426.136584,21889.078664,26135.5648,26847.119783,23084.253881999997,20916.811020999998,19895.938857,21152.539328,22507.277123999997
