    พิษณุโลก,    Phitsanulok,12068.0,8965.0,10637.0,12751.0,14117.0,13364.0,15779.0,17474.0,27489.5,19235.1
    พิจิตร,    Phichit,11185.0,8318.0,10887.0,10951.0,13488.0,15603.0,21821.0,18129.7,21663.7,22100.5
    เพชรบูรณ์,    Phetchabun,8051.0,8435.0,9548.0,9572.0,11323.0,12914.0,17096.0,15677.7,19918.3,21336.5
    นครราชสีมา,    Nakhon Ratchasima,9418.0,8415.0,9494.0,11398.0,13320.0,14177.0,19158.0,19399.4,22479.2,26376.3
    บุรีรัมย์,    Buri Ram,8365.0,8137.0,7861.0,8632.0,9698.0,10263.0,13734.0,17315.8,15624.4,18479.6
    สุรินทร์,    Surin,6398.0,6226.0,6675.0,8095.0,11850.0,12257.0,11310.0,18287.4,21351.0,20314.6
    ศรีสะเกษ,    Si Sa Ket,7669.0,7593.0,7564.0,8745.0,9406.0,10782.0,10666.0,13943.9,16207.2,18792.5
    อุบลราชธานี,    Ubon Ratchathani,10267.0,9874.0,12258.0,11697.0,12035.0,14534.0,16747.0,21659.6,22343.7,20452.5
    ยโสธร,    Yasothon,7478.0,4826.0,6045.0,9410.0,9969.0,10040.0,11813.0,16766.8,14418.4,19517.9
    ชัยภูมิ,    Chaiyaphum,6220.0,7683.0,8364.0,9161.0,11551.0,11253.0,12380.0,15794.3,18641.0,23829.5
    อำนาจเจริญ,    Amnat Charoen,8139.0,7711.0,9307.0,11423.0,13134.0,11889.0,14763.0,15975.4,17272.8,21172.9
    บึงกาฬ,    Bungkan,,,,,,,,,20207.0,23766.6
    หนองบัวลำภู,    Nong Bua Lam Phu,8386.0,5532.0,7326.0,8318.0,11030.0,11889.0,14012.0,17139.1,15390.4,22552.5
    ขอนแก่น,    Khon Kaen,11521.0,9757.0,11554.0,13088.0,11349.0,15065.0,19779.0,16030.4,18095.0,21336.7
    อุดรธานี,    Udon Thani,7744.0,6841.0,9885.0,10789.0,14097.0,17273.0,16684.0,22017.3,25965.9,22817.4
    เลย,    Loei,9905.0,7387.0,9289.0,10013.0,12083.0,13765.0,13411.0,17957.7,16337.6,20990.4
    หนองคาย,    Nong Khai,12548.0,7123.0,11001.0,11466.0,12877.0,12885.0,14467.0,16978.8,18057.9,21206.5
    มหาสารคาม,    Maha Sarakham,8444.0,8746.0,9642.0,10178.0,13646.0,15812.0,19845.0,25461.2,21643.8,18540.3
    ร้อยเอ็ด,    Roi Et,5987.0,7207.0,9442.0,9817.0,10849.0,11779.0,14932.0,20167.0,20505.2,19990.4
    กาฬสินธุ์,    Kalasin,6908.0,6469.0,8736.0,8908.0,12470.0,12507.0,11748.0,17292.9,13921.1,15451.6
    สกลนคร,    Sakon Nakhon,7660.0,7751.0,10227.0,8971.0,11295.0,11957.0,16679.0,15326.2,16854.2,19280.9
    นครพนม,    Nakhon Phanom,7909.0,5343.0,7613.0,8168.0,9927.0,10009.0,12859.0,14053.4,14310.4,15804.4
    มุกดาหาร,    Mukdahan,9890.0,9485.0,9236.0,9284.0,13497.0,13406.0,17370.0,19048.4,16494.4,22869.7
    นครศรีธรรมราช,    Nakhon Si Thammarat,11196.0,10789.0,12317.0,14079.0,17377.0,18087.0,23296.0,29970.4,27478.9,25124.0
